,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
232,Burnett,13737.0,196847.0,113797.0,2257.0,16.43007934774696,6197.0,476.0,7.681136033564628
233,Burt,6684.0,228402.0,119441.0,704.0,10.532615200478755,3116.0,109.0,3.498074454428755
234,Butler,720089.0,4908333.0,2380233.0,92676.0,12.870075782299132,364975.0,24750.0,6.781286389478732
235,Butte,236434.0,887235.0,540743.0,49311.0,20.856137442161447,108109.0,12487.0,11.550379709367398
236,Butts,26884.0,118822.0,54840.0,4955.0,18.431037048058325,11045.0,1255.0,11.36260751471254
237,Cabarrus,191636.0,373924.0,173874.0,24724.0,12.901542507670792,98264.0,9204.0,9.366604249776113
238,Cabell,111738.0,460021.0,254404.0,22311.0,19.967244804811255,50015.0,3676.0,7.349795061481555
239,Cache,117449.0,942423.0,344864.0,17713.0,15.081439603572614,57768.0,3202.0,5.542861099570697
240,Caddo,31891.0,509742.0,246987.0,6503.0,20.391332977956164,13531.0,1276.0,9.430197324661888
241,Caddo Parish,257250.0,953543.0,559740.0,54267.0,21.095043731778425,118520.0,8225.0,6.939757003037462
242,Calaveras,44695.0,868141.0,474552.0,5581.0,12.486855352947757,18459.0,2227.0,12.064575545804214
243,Calcasieu,203071.0,721531.0,339226.0,34070.0,16.7773832797396,98228.0,8108.0,8.254265586187238
244,Caldwell,150361.0,926073.0,518482.0,27779.0,18.474870478382027,69486.0,6778.0,9.754482917422214
245,Caledonia,30491.0,742760.0,412818.0,3641.0,11.94122855924699,15663.0,1134.0,7.239992338632446
246,Calhoun,363056.0,3005992.0,1573714.0,68051.0,18.743940328764708,165678.0,17336.0,10.463670493366651
247,Callahan,12543.0,144514.0,82584.0,2344.0,18.6877142629355,4964.0,266.0,5.358581788879936
248,Callaway,43101.0,514490.0,228969.0,5574.0,12.932414561147073,20128.0,1069.0,5.3110095389507155
249,Calloway,37729.0,312019.0,145160.0,7991.0,21.17999416894166,18404.0,1691.0,9.188219952184308
250,Calumet,25448.0,496636.0,215297.0,1870.0,7.348318138950016,13775.0,521.0,3.782214156079855
251,Calvert,92187.0,1307026.0,597588.0,5280.0,5.72748869146409,49969.0,3841.0,7.6867657947927714
252,Camas,1007.0,43295.0,200778.0,218.0,21.648460774577956,517.0,31.0,5.996131528046422
253,Cambria,139983.0,2000366.0,1013942.0,20249.0,14.465327932677539,63985.0,5357.0,8.372274751894976
254,Camden,631597.0,3023871.0,1484623.0,81799.0,12.951138146634642,324110.0,32397.0,9.995680478849772
255,Cameron,425534.0,921980.0,465934.0,140541.0,33.02697316783148,168184.0,16610.0,9.876088093992294
